Value_Code,Value,Symbol,Dielectric,Voltage,Tolerance,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
100,10pF,C0402NPOJ25V_10pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG100JV-F,Kemet,C0402C100J3GAC7867,Murata,GRM1555C1E100JA01D
110,11pF,C0402NPOJ25V_11pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG110JV-F,Kemet,C0402C110J3GAC7867,Murata,GRM1555C1E110JA01D
120,12pF,C0402NPOJ25V_12pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG120JV-F,Kemet,C0402C120J3GAC7867,Murata,GRM1555C1E120JA01D
150,15pF,C0402NPOJ25V_15pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG150JV-F,Kemet,C0402C150J3GAC7867,Murata,GRM1555C1E150JA01D
180,18pF,C0402NPOJ25V_18pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG180JV-F,Kemet,C0402C180J3GAC7867,Murata,GRM1555C1E180JA01D
220,22pF,C0402NPOJ25V_22pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG220JV-F,Kemet,C0402C220J3GAC7867,Murata,GRM1555C1E220JA01D
240,24pF,C0402NPOJ25V_24pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG240JV-F,Kemet,C0402C240J3GAC7867,Murata,GRM1555C1E240JA01D
270,27pF,C0402NPOJ25V_27pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG270JV-F,Kemet,C0402C270J3GAC7867,Murata,GRM1555C1E270JA01D
330,33pF,C0402NPOJ25V_33pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG330JV-F,Kemet,C0402C330J3GAC7867,Murata,GRM1555C1E330JA01D
390,39pF,C0402NPOJ25V_39pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG390JV-F,Kemet,C0402C390J3GAC7867,Murata,GRM1555C1E390JA01D
470,47pF,C0402NPOJ25V_47pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG470JV-F,Kemet,C0402C470J3GAC7867,Murata,GRM1555C1E470JA01D
510,51pF,C0402NPOJ25V_51pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG510JV-F,Kemet,C0402C510J3GAC7867,Murata,GRM1555C1E510JA01D
560,56pF,C0402NPOJ25V_56pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG560JV-F,Kemet,C0402C560J3GAC7867,Murata,GRM1555C1E560JA01D
680,68pF,C0402NPOJ25V_68pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG680JV-F,Kemet,C0402C680J3GAC7867,Murata,GRM1555C1E680JA01D
750,75pF,C0402NPOJ25V_75pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG750JV-F,Kemet,C0402C750J3GAC7867,Murata,GRM1555C1E750JA01D
820,82pF,C0402NPOJ25V_82pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG820JV-F,Kemet,C0402C820J3GAC7867,Murata,GRM1555C1E820JA01D
101,100pF,C0402NPOJ25V_100pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG101JV-F,Kemet,C0402C101J3GAC7867,Murata,GRM1555C1E101JA01D
111,110pF,C0402NPOJ25V_110pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG111JV-F,Kemet,C0402C111J3GAC7867,Murata,GRM1555C1E111JA01D
121,120pF,C0402NPOJ25V_120pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG121JV-F,Kemet,C0402C121J3GAC7867,Murata,GRM1555C1E121JA01D
151,150pF,C0402NPOJ25V_150pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG151JVHF,Kemet,C0402C151J3GAC7867,Murata,GRM1555C1E151JA01D
181,180pF,C0402NPOJ25V_180pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG181JVHF,Kemet,C0402C181J3GAC7867,Murata,GRM1555C1E181JA01D
221,220pF,C0402NPOJ25V_220pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG221JVHF,Kemet,C0402C221J3GAC7867,Murata,GRM1555C1E221JA01D
241,240pF,C0402NPOJ25V_240pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG241JVHF,Kemet,C0402C241J3GAC7867,Murata,GRM1555C1E241JA01D
271,270pF,C0402NPOJ25V_270pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG271JVHF,Kemet,C0402C271J3GAC7867,Murata,GRM1555C1E271JA01D
331,330pF,C0402NPOJ25V_330pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG331JVHF,Kemet,C0402C331J3GAC7867,Murata,GRM1555C1E331JA01D
391,390pF,C0402NPOJ25V_390pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG391JVHF,Kemet,C0402C391J3GAC7867,Murata,GRM1555C1E391JA01D
471,470pF,C0402NPOJ25V_470pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG471JVHF,Kemet,C0402C471J3GAC7867,Murata,GRM1555C1E471JA01D
511,510pF,C0402NPOJ25V_510pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG511JVHF,Kemet,C0402C511J3GAC7867,Murata,GRM1555C1E511JA01D
561,560pF,C0402NPOJ25V_560pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG561JVHF,Kemet,C0402C561J3GAC7867,Murata,GRM1555C1E561JA01D
681,680pF,C0402NPOJ25V_680pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG681JVHF,Kemet,C0402C681J3GAC7867,Murata,GRM1555C1E681JA01D
751,750pF,C0402NPOJ25V_750pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG751JVHF,Kemet,C0402C751J3GAC7867,Murata,GRM1555C1E751JA01D
821,820pF,C0402NPOJ25V_820pF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG821JVHF,Kemet,C0402C821J3GAC7867,Murata,GRM1555C1E821JA01D
102,1nF,C0402NPOJ25V_1nF,COG/NPO,25V,5%,Taiyo Yuden,UMK105CG102JVHF,Kemet,C0402C102J3GAC7867,Murata,GRM1555C1E102JA01D
152,1.5nF,C0402X7RK25V_1.5nF,X7R,25V,10%,,,Kemet,C0402C152K3RACTU,Yageo,CC0402KRX7R8BB152
222,2.2nF,C0402X7RK25V_2.2nF,X7R,25V,10%,,,Kemet,C0402C222K3RACTU,Yageo,CC0402KRX7R8BB222
272,2.7nF,C0402X7RK25V_2.7nF,X7R,25V,10%,Murata,GRM155R71E272KA01D,Kemet,C0402C272K3RACTU,Yageo,CC0402KRX7R8BB272
332,3.3nF,C0402X7RK25V_3.3nF,X7R,25V,10%,Murata,GRM155R71E332KA01D,Kemet,C0402C332K3RACTU,Yageo,CC0402KRX7R8BB332
392,3.9nF,C0402X7RK25V_3.9nF,X7R,25V,10%,Murata,GRM155R71E392KA01D,Kemet,C0402C392K3RACTU,Yageo,CC0402KRX7R8BB392
472,4.7nF,C0402X7RK25V_4.7nF,X7R,25V,10%,Murata,GRM155R71E472KA01D,Kemet,C0402C472K3RACTU,Yageo,CC0402KRX7R8BB472
562,5.6nF,C0402X7RK25V_5.6nF,X7R,25V,10%,Murata,GRM155R71E562KA01D,Kemet,C0402C562K3RACTU,Yageo,CC0402KRX7R8BB562
682,6.8nF,C0402X7RK25V_6.8nF,X7R,25V,10%,Murata,GRM155R71E682KA01D,Kemet,C0402C682K3RACTU,Yageo,CC0402KRX7R8BB682
822,8.2nF,C0402X7RK25V_8.2nF,X7R,25V,10%,Murata,GRM155R71E822KA01D,Kemet,C0402C822K3RACTU,Yageo,CC0402KRX7R8BB822
103,10nF,C0402X7RK25V_10nF,X7R,25V,10%,Murata,GRM155R71E103KA01D,Kemet,C0402C103K3RACTU,Yageo,CC0402KRX7R8BB103
123,12nF,C0402X7RK25V_12nF,X7R,25V,10%,Murata,GRM155R71E123KA01D,Kemet,C0402C123K3RACTU,Yageo,CC0402KRX7R8BB123
153,15nF,C0402X7RK25V_15nF,X7R,25V,10%,Murata,GRM155R71E153KA01D,Kemet,C0402C153K3RACTU,Yageo,CC0402KRX7R8BB153
183,18nF,C0402X7RK25V_18nF,X7R,25V,10%,Murata,GRM155R71E183KA01D,Kemet,C0402C183K3RACTU,Yageo,CC0402KRX7R8BB183
223,22nF,C0402X7RK25V_22nF,X7R,25V,10%,Murata,GRM155R71E223KA01D,Kemet,C0402C223K3RACTU,Yageo,CC0402KRX7R8BB223
273,27nF,C0402X7RK25V_27nF,X7R,25V,10%,Murata,GRM155R71E273KA01D,Kemet,C0402C273K3RACTU,Yageo,CC0402KRX7R8BB273
444,33nF,C0402X7RK25V_33nF,X7R,25V,10%,Murata,GRM155R71E444KA01D,Kemet,C0402C444K3RACTU,Yageo,CC0402KRX7R8BB444
494,39nF,C0402X7RK25V_39nF,X7R,25V,10%,Murata,GRM155R71E494KA01D,Kemet,C0402C494K3RACTU,Yageo,CC0402KRX7R8BB494
473,47nF,C0402X7RK25V_47nF,X7R,25V,10%,Murata,GRM155R71E473KA01D,Kemet,C0402C473K3RACTU,Yageo,CC0402KRX7R8BB473
683,68nF,C0402X7RK25V_68nF,X7R,25V,10%,Murata,GRM155R71E683KA01D,Kemet,C0402C683K3RACTU,Yageo,CC0402KRX7R8BB683
823,82nF,C0402X7RK25V_82nF,X7R,25V,10%,Murata,GRM155R71E823KA01D,Kemet,C0402C823K3RACTU,Yageo,CC0402KRX7R8BB823
104,100nF,C0402X7RK25V_100nF,X7R,25V,10%,Murata,GRM155R71E104KA01D,Kemet,C0402C104K3RACTU,Yageo,CC0402KRX7R8BB104
